ID,Address,BuildingName,Street_Nbr,Street,VHR,Designation,Zoning,LocalArea,Land_Coord,HRA_HCC,Latitude,Longitude
1214,1806 W 15TH AV,,1806,W 15TH AV,A,,RT-8                ,KITSILANO           ,68809796,,49.257840925644,-123.146239800886
1215,1949 W 57TH AV,EARLE HOUSE       ,1949,W 57TH AV,C,M,RS-1                ,KERRISDALE          ,81008655,,49.2198087352037,-123.151764305928
1216,27 E PENDER ST,,27,E PENDER ST,B,M,HA-1                ,CENTRL BUSNES/DWNTWN,59217827,,49.2807093581798,-123.103758822632
1217,325 CARRALL ST,,325,CARRALL ST,C,M,HA-2                ,CENTRL BUSNES/DWNTWN,17858945,,49.2819521767121,-123.104607134099
1218,8026 ARGYLE ST,,8026,ARGYLE ST,B,,RS-1                ,VICTORIA-FRASERVIEW ,23782436,,49.211639344466,-123.071667090107
1219,610 JACKSON AV,,610,JACKSON AV,B,,RT-3                ,STRATHCONA          ,19659404,,49.2790974377416,-123.093307536292
1220,51 W 11TH AV,,51,W 11TH AV,B,,RT-6                ,MOUNT PLEASANT      ,66418237,,49.26144482435,-123.106139025161
1221,1943 E 1ST AV,,1943,E 1ST AV,B,,RT-4                ,GRANDVIEW-WOODLAND  ,63025347,,49.2698346189398,-123.064814790352
1222,2733 FRANKLIN ST,,2733,FRANKLIN ST,B,,RS-1                ,HASTINGS-SUNRISE    ,58827529,,49.2823190950414,-123.048387728454
1223,1523 COMOX ST,,1523,COMOX ST,B,,RM-5                ,WEST END            ,60711467,,49.2862971308091,-123.135486253242
1224,1866 E 37TH AV,,1866,E 37TH AV,C,,RS-1                ,KENSINGTON-CEDAR COT,73924336,,49.2364742749948,-123.067642633182
1225,838 W HASTINGS ST,,838,W HASTINGS ST,B,I,CD-1                ,CENTRL BUSNES/DWNTWN,59012446,H,49.2861823119564,-123.115685777327
1226,2334 BALACLAVA ST,,2334,BALACLAVA ST,C,,RT-7                ,KITSILANO           ,05864674,,49.2653359042942,-123.173633732001
1227,4238 DUMFRIES ST,,4238,DUMFRIES ST,B,,RT-10               ,KENSINGTON-CEDAR COT,23571138,,49.2471811594483,-123.072999379956
1228,1724 DUNBAR ST,,1724,DUNBAR ST,B,,RT-8                ,KITSILANO           ,04163444,,49.2709293161127,-123.183274774381
1229,97 E 2ND AV,OPSAL STEEL       ,97,E 2ND AV,A,ML,CD-1                ,MOUNT PLEASANT      ,64018493,H,49.2695134910749,-123.103314362225
1230,1201 W GEORGIA ST,,1201,W GEORGIA ST,A,,DD                  ,CENTRL BUSNES/DWNTWN,60011795,,49.2874584881512,-123.12516587515
1231,637 E GEORGIA ST,,637,E GEORGIA ST,C,,RT-3                ,STRATHCONA          ,59619837,,49.2786580475614,-123.090746900242
1232,50 E CORDOVA ST,,50,E CORDOVA ST,B,,HA-2                ,CENTRL BUSNES/DWNTWN,58917860,,49.282152379225,-123.103059016643
1233,1171 KEEFER ST,,1171,KEEFER ST,C,,RT-3                ,STRATHCONA          ,59422271,,49.2793799124684,-123.079629419475
1234,117 W 10TH AV,,117,W 10TH AV,B,M,RM-4                ,MOUNT PLEASANT      ,65417971,,49.2623780904743,-123.107573922937
1235,355 BURRARD ST,MARINE BUILDING   ,355,BURRARD ST,A,M,DD                  ,CENTRL BUSNES/DWNTWN,12057197,,49.2875182283394,-123.116983755836
1236,245 E BROADWAY,,245,E BROADWAY,C,M,C-3A                ,MOUNT PLEASANT      ,77019196,,49.2631702729303,-123.100178313598
1237,1533 MATTHEWS AV,,1533,MATTHEWS AV,A,,FSD                 ,SHAUGHNESSY         ,70212595,,49.2534159024767,-123.139465117187
1238,5 E 10TH AV,,5,E 10TH AV,B,,RM-4                ,MOUNT PLEASANT      ,18465094,,49.2622133656823,-123.104600673158
1239,727 E 50TH AV,,727,E 50TH AV,B,,RS-1                ,SUNSET              ,79121027,,49.2247791049235,-123.089788593489
1240,1936 W 14TH AV,,1936,W 14TH AV,C,,RT-8                ,KITSILANO           ,68609566,,49.2588032757507,-123.149192254283
1241,2045 W 15TH AV,,2045,W 15TH AV,C,,RT-8                ,KITSILANO           ,68809065,,49.2584330258987,-123.151862498012
1242,4241 ST. GEORGE ST,,4241,ST. GEORGE ST,C,,RS-1                ,RILEY PARK          ,19971241,,49.2469743852463,-123.094504240929
1243,5882 TYNE ST,,5882,TYNE ST,B,,RS-1                ,KILLARNEY           ,31275148,,49.2304960642214,-123.031744200966
1244,688 HAMILTON ST,QUEEN E THEATRE   ,688,HAMILTON ST,A,,DD                  ,CENTRL BUSNES/DWNTWN,60015607,,49.280221662012,-123.112870382402
1245,2724 OXFORD ST,,2724,OXFORD ST,B,,RS-1                ,HASTINGS-SUNRISE    ,57727522,,49.2854191908078,-123.048645947086
1246,50 WATER ST,KANE BUILDING     ,50,WATER ST,C,M,HA-2                ,CENTRL BUSNES/DWNTWN,58017232,H,49.2834530188639,-123.105717401085
1247,95 W 11TH AV,,95,W 11TH AV,C,,RT-6                ,MOUNT PLEASANT      ,66418207,,49.2614083480193,-123.106677038716
1248,2519 BALACLAVA ST,,2519,BALACLAVA ST,C,,RS-5                ,KITSILANO           ,05865045,,49.2636936300232,-123.174327407541
1249,2466 E 1ST AV,,2466,E 1ST AV,B,,RS-1                ,HASTINGS-SUNRISE    ,63027092,,49.2691405266188,-123.05490739165
1250,1515 W 57TH AV,,1515,W 57TH AV,,L,CD-1                ,KERRISDALE          ,81012495,,49.2198760298108,-123.141164523664
1251,2546 W 3RD AV,HARRINGTON HOUSE  ,2546,W 3RD AV,C,M,RT-8                ,KITSILANO           ,63807350,H,49.2689133660495,-123.163314799056
1252,1850 E 41ST AV,TECUMSEH SCHOOL   ,1850,E 41ST AV,B,,RS-1                ,VICTORIA-FRASERVIEW ,75024304,,49.2315067106674,-123.067780652482
1253,1358 GRAVELEY ST,ROTH-CALOGERO HOUS,1358,GRAVELEY ST,C,,RM-4                ,GRANDVIEW-WOODLAND  ,61623060,,49.2702973334588,-123.076042420364
1254,276 E PENDER ST,,276,E PENDER ST,,M,HA-1                ,STRATHCONA          ,59219074,,49.2800881497426,-123.097937111341
1255,1612 VICTORIA DRIVE,,1612,VICTORIA DRIVE,C,,RT-5                ,GRANDVIEW-WOODLAND  ,25361616,,49.2701571665071,-123.065472691341
1256,123 CAMBIE ST,,123,CAMBIE ST,B,M,HA-2                ,CENTRL BUSNES/DWNTWN,58013897,,49.2845968318268,-123.108889683767
1257,6135 MACDONALD ST,ANDERSON HOUSE    ,6135,MACDONALD ST,C,L,RS-5                ,KERRISDALE          ,7075803,H,49.2306946898452,-123.167902267559
1258,5855 ONTARIO ST,VAN HORNE ELEM    ,5855,ONTARIO ST,B,,RS-1                ,OAKRIDGE            ,75218206,,49.2317948328512,-123.106944113767
1259,1824 STEPHENS ST,,1824,STEPHENS ST,C,,RT-8                ,KITSILANO           ,07263654,,49.2696169754535,-123.165981593643
1260,1945 W 16TH AV,,1945,W 16TH AV,B,,RT-8                ,KITSILANO           ,69009555,,49.2574924945627,-123.149462296128
1261,6885 BALSAM ST,,6885,BALSAM ST,C,,RS-5                ,KERRISDALE          ,07879489,,49.2233811718706,-123.161927312242
1262,1550 HARWOOD ST,,1550,HARWOOD ST,B,,RM-5A               ,WEST END            ,61511436,,49.2833103598501,-123.140683747864
1263,1049 PACIFIC ST,,1049,PACIFIC ST,B,,RM-5A               ,WEST END            ,61611947,,49.2780290777695,-123.132675351879
1264,215 E 17TH AV,,215,E 17TH AV,B,,C-2                 ,RILEY PARK          ,69119105,,49.255939028048,-123.100564752954
1265,1916 W 13TH AV,,1916,W 13TH AV,B,,RT-8                ,KITSILANO           ,68309584,,49.2597227315478,-123.148738066659
1266,1820 BAYSWATER ST,,1820,BAYSWATER ST,A,,RT-8                ,KITSILANO           ,06263612,,49.2699510730477,-123.170578201177
1267,169 E HASTINGS ST,,169,E HASTINGS ST,C,,DEOD                ,CENTRL BUSNES/DWNTWN,59018677,,49.2816585745437,-123.100605272234
1268,2543 W 2ND AV,,2543,W 2ND AV,B,,RT-8                ,KITSILANO           ,63607347,,49.2702716405219,-123.163328011599
1269,1120 E 13TH AV,,1120,E 13TH AV,B,,RT-5                ,MOUNT PLEASANT      ,68322216,,49.2584775719862,-123.080904234842
1270,1323 WALNUT ST,,1323,WALNUT ST,C,,RT-9                ,KITSILANO           ,09662721,,49.2740582777759,-123.149303708373
1271,3450 OSLER ST,,3450,OSLER ST,B,,FSD                 ,SHAUGHNESSY         ,14869868,,49.2551328666429,-123.13129623036
1272,168 E PENDER ST,,168,E PENDER ST,C,M,HA-1                ,CENTRL BUSNES/DWNTWN,59218662,,49.2801497354468,-123.100781198758
1273,322 CAMBIE ST,,322,CAMBIE ST,B,M,HA-2                ,CENTRL BUSNES/DWNTWN,15758946,,49.2829121816271,-123.109163957819
1274,3137 W 42ND AV,,3137,W 42ND AV,B,,RS-5                ,KERRISDALE          ,75205431,,49.2340302213065,-123.174827496899
1275,1160 W 7TH AV,,1160,W 7TH AV,C,,FM-1                ,FAIRVIEW            ,64614642,,49.2649602149946,-123.130456697944
1276,1850 SW MARINE DRIVE,,1850,SW MARINE DRIVE,B,,RS-1                ,KERRISDALE          ,83008762,,49.2099923341856,-123.150202097885
1277,2335 W 8TH AV,,2335,W 8TH AV,C,,RT-8                ,KITSILANO           ,64807865,,49.2650736313672,-123.158513741432
1278,1924 W 13TH AV,,1924,W 13TH AV,C,,RT-8                ,KITSILANO           ,68309576,,49.259727472107,-123.148968409023
1279,1922 STEPHENS ST,,1922,STEPHENS ST,C,,RT-8                ,KITSILANO           ,7263854,,49.2688145440061,-123.166010531454
1280,2210 STEPHENS ST,,2210,STEPHENS ST,B,,RT-8                ,KITSILANO           ,07264314,,49.2663811223539,-123.16611925813
1281,1237 E 14TH AV,LEE HOUSE         ,1237,E 14TH AV,C,M,RT-5                ,MOUNT PLEASANT      ,68422269,,49.258093988043,-123.078889558115
1282,3768 W 12TH AV,,3768,W 12TH AV,C,,RS-1                ,WEST POINT GREY     ,67803726,,49.2614038866542,-123.187274685609
1283,5872 WALES ST,COOPER HOUSE      ,5872,WALES ST,A,ML,RS-1                ,VICTORIA-FRASERVIEW ,27875394,H,49.2304515636378,-123.051273671537
1284,2967 W 42ND AV,,2967,W 42ND AV,B,M,RS-5                ,KERRISDALE          ,75205625,,49.2340280602335,-123.172091194609
1285,5 W HASTINGS ST,,5,W HASTINGS ST,B,M,HA-2                ,CENTRL BUSNES/DWNTWN,59017281,,49.2818273077737,-123.104922287747
1286,5471 WALES ST,,5471,WALES ST,B,,RT-11               ,RENFREW-COLLINGWOOD ,27874131,,49.2352543089464,-123.052137505355
1287,148 W 10TH AV,,148,W 10TH AV,B,M,RT-6                ,MOUNT PLEASANT      ,65417940,,49.2618715952744,-123.10819265602
1288,1238 RICHARDS ST,CANADIAN LINEN CO ,1238,RICHARDS ST,B,M,DD                  ,CENTRL BUSNES/DWNTWN,13861206,H,49.2752340293058,-123.124717981992
1289,2761 W 3RD AV,,2761,W 3RD AV,C,,RT-8                ,KITSILANO           ,63807015,,49.2695078358662,-123.167726302242
1290,1715 DUNBAR ST,,1715,DUNBAR ST,C,,RT-8                ,KITSILANO           ,04163427,,49.2710093513532,-123.183866150835
1291,1281 MATTHEWS AV,,1281,MATTHEWS AV,A,,FSD                 ,SHAUGHNESSY         ,70214473,,49.2540378264719,-123.133904313434
1292,3432 ST. CATHERINES ST,,3432,ST. CATHERINES ST,C,,RM-1                ,KENSINGTON-CEDAR COT,21469232,,49.2539212015562,-123.085349929595
1293,2068 W 5TH AV,,2068,W 5TH AV,C,,RM-4                ,KITSILANO           ,64209030,,49.2669782805136,-123.151948983103
1294,2420 CAROLINA ST,,2420,CAROLINA ST,B,,RM-4                ,MOUNT PLEASANT      ,20664820,,49.2631667329701,-123.090779323303
1295,620 W PENDER ST,,620,W PENDER ST,C,,DD                  ,CENTRL BUSNES/DWNTWN,59213064,,49.2840641201012,-123.114509746347
1296,1537 E 10TH AV,,1537,E 10TH AV,C,,RT-5                ,KENSINGTON-CEDAR COT,65523419,,49.2616168205397,-123.072773758274
1297,2475 W 6TH AV,,2475,W 6TH AV,B,,RT-8                ,KITSILANO           ,64307725,,49.266801726284,-123.161656704544
1298,872 E GEORGIA ST,,872,E GEORGIA ST,B,,RT-3                ,STRATHCONA          ,59621274,,49.2780469458143,-123.085662895715
1299,529 GORE AV,NATIONALIST LEAGUE,529,GORE AV,A,M,HA-1                ,STRATHCONA          ,59219096,,49.2800808056943,-123.097580318838
1300,441 GLEN DRIVE,,441,GLEN DRIVE,B,,RT-3                ,STRATHCONA          ,59221895,,49.2803166052219,-123.081516116594
1301,512 HAWKS AV,,512,HAWKS AV,B,M,RT-3                ,STRATHCONA          ,59221204,,49.2798690232356,-123.086969387444
1302,111 ALEXANDER ST,,111,ALEXANDER ST,,M,HA-2                ,CENTRL BUSNES/DWNTWN,57918613,,49.2839293847425,-123.101892998304
1303,1390 THURLOW ST,,1390,THURLOW ST,B,,RM-5A               ,WEST END            ,11961596,,49.2782465404974,-123.1340403437
1304,4574 W 8TH AV,,4574,W 8TH AV,B,,RS-1                ,WEST POINT GREY     ,65002218,,49.2653560370353,-123.211293082689
1305,2158 CYPRESS ST,,2158,CYPRESS ST,B,M,RM-4                ,KITSILANO           ,64209738,H,49.2668042392915,-123.147190631653
1306,2050 MACDONALD ST,,2050,MACDONALD ST,C,,RT-8                ,KITSILANO           ,07064096,,49.2675882116343,-123.168031878164
1307,2660 MARINE CRESCENT,,2660,MARINE CRESCENT,B,,RS-5                ,KERRISDALE          ,79107354,,49.2265167625566,-123.164883120312
1308,936 W 17TH AV,,936,W 17TH AV,C,,RS-7                ,SOUTH CAMBIE        ,69115062,,49.2559412875956,-123.125523338557
1309,818 E PENDER ST,MENCHIONS APT.    ,818,E PENDER ST,B,,RT-3                ,STRATHCONA          ,59221222,,49.2798706472283,-123.086617679881
1310,512 GLEN DRIVE,DOWNER HOUSES     ,512,GLEN DRIVE,B,M,RT-3                ,STRATHCONA          ,22259230,H,49.2798079997827,-123.081068624345
1311,1962 TURNER ST,,1962,TURNER ST,B,,RT-4                ,GRANDVIEW-WOODLAND  ,59425362,,49.2788732543546,-123.064297921652
1312,2170 SW MARINE DRIVE,,2170,SW MARINE DRIVE,A,,RS-1                ,KERRISDALE          ,83008276,,49.2175603051732,-123.157445282914
1313,2722 W 7TH AV,WILLIAMS HOUSE    ,2722,W 7TH AV,B,M,RT-8                ,KITSILANO           ,64607084,,49.2655179975271,-123.167079195104
1314,5055 CONNAUGHT DRIVE,,5055,CONNAUGHT DRIVE,A,ML,RS-5                ,SHAUGHNESSY         ,12573523,H,49.2404656747128,-123.142827079538
1315,1847 COLLINGWOOD ST,,1847,COLLINGWOOD ST,C,,RT-8                ,KITSILANO           ,04263697,,49.2696239327588,-123.18196573111
1316,1545 W 15TH AV,,1545,W 15TH AV,B,,RM-3                ,FAIRVIEW            ,68812457,,49.2582579866244,-123.139946741505
1317,1305 E 20TH AV,,1305,E 20TH AV,B,,RT-10               ,KENSINGTON-CEDAR COT,69622805,,49.2528674383529,-123.077714797595
1318,5368 BLENHEIM ST,,5368,BLENHEIM ST,B,,RS-5                ,DUNBAR-SOUTHLANDS   ,05073968,,49.2379207892274,-123.178268212526
1319,4255 W 12TH AV,,4255,W 12TH AV,C,,RS-1                ,WEST POINT GREY     ,67802747,,49.262131345554,-123.201642168847
1320,1362 HARO ST,,1362,HARO ST,C,,RM-5                ,WEST END            ,60311626,,49.2867522095054,-123.130909842274
1321,2338 PRINCE ALBERT ST,,2338,PRINCE ALBERT ST,C,,RM-4                ,MOUNT PLEASANT      ,21264638,,49.2636924805624,-123.086876877418
1322,655 E PENDER ST,,655,E PENDER ST,C,,RT-3                ,STRATHCONA          ,59219855,,49.280453181733,-123.090192879782
1323,549 UNION ST,,549,UNION ST,A,,RT-3                ,STRATHCONA          ,59819647,,49.277779590441,-123.092478459371
1324,2618 COLUMBIA ST,,2618,COLUMBIA ST,C,,RT-6                ,MOUNT PLEASANT      ,17965436,,49.261806297733,-123.109140870619
1325,130 W 10TH AV,MACAULEY HOUSE    ,130,W 10TH AV,C,M,RT-6                ,MOUNT PLEASANT      ,65417960,H,49.261862296242,-123.107959671758
1326,5 W 11TH AV,,5,W 11TH AV,B,,RT-6                ,MOUNT PLEASANT      ,66418297,,49.2614043110829,-123.105213292943
1327,2744 ONTARIO ST,,2744,ONTARIO ST,C,,RM-4N               ,MOUNT PLEASANT      ,67018407,,49.260526235554,-123.10478668893
1328,1535 W 14TH AV,,1535,W 14TH AV,B,,RM-3                ,FAIRVIEW            ,68612475,,49.2591745569026,-123.139552166562
1329,1550 E 13TH AV,,1550,E 13TH AV,B,,RT-5                ,KENSINGTON-CEDAR COT,68323426,,49.2584089260838,-123.072480462406
1330,4246 W 13TH AV,,4246,W 13TH AV,B,,RS-1                ,WEST POINT GREY     ,68302758,,49.2607086917601,-123.201408678591
1331,2136 FRANKLIN ST,,2136,FRANKLIN ST,B,,RM-3A               ,GRANDVIEW-WOODLAND  ,58825936,,49.2818451006443,-123.060788932654
1332,8 W CORDOVA ST,,8,W CORDOVA ST,AB,M,HA-2                ,CENTRL BUSNES/DWNTWN,58917270,,49.2824172265984,-123.104821494505
1333,1154 COMOX ST,RUMMELL HOUSE     ,1154,COMOX ST,B,,RM-5B               ,WEST END            ,60711834,,49.2824765268003,-123.130748746424
1334,1130 JERVIS ST,,1130,JERVIS ST,A,M,RM-5B               ,WEST END            ,60911706,,49.283173522534,-123.133770435157
1335,1719 FRANKLIN ST,,1719,FRANKLIN ST,B,,M-2                 ,GRANDVIEW-WOODLAND  ,58825023,,49.2824275882523,-123.069790767722
1336,2553 E 11TH AV,,2553,E 11TH AV,B,,RS-1                ,RENFREW-COLLINGWOOD ,66527161,,49.2603608105243,-123.053691493904
1337,2648 POINT GREY ROAD,,2648,POINT GREY ROAD,B,,RT-8                ,KITSILANO           ,63007236,,49.272279934735,-123.165471549781
1338,1985 W 12TH AV,,1985,W 12TH AV,B,,RT-8                ,KITSILANO           ,67009515,,49.2612255872704,-123.150164822329
1339,4600 CAMBIE ST,QUEEN ELIZABETH PK,4600,CAMBIE ST,A,,RS-1                ,RILEY PARK          ,73317155,,49.2409881160303,-123.112176796408
1340,3888 OSLER ST,,3888,OSLER ST,B,,FSD                 ,SHAUGHNESSY         ,14870362,,49.2511610339918,-123.129310926108
1341,7936 ANGUS DRIVE,,7936,ANGUS DRIVE,B,,RS-1                ,MARPOLE             ,09081826,,49.2139166319068,-123.147807231646
1342,515 HAWKS AV,,515,HAWKS AV,B,,RT-3                ,STRATHCONA          ,21259245,,49.2799352823564,-123.087410396511
1343,340 CAMBIE ST,COMMERCIAL HOTEL  ,340,CAMBIE ST,B,M,HA-2                ,CENTRL BUSNES/DWNTWN,15758956,,49.2827516733274,-123.109095568798
1344,627 UNION ST,,627,UNION ST,B,,RT-3                ,STRATHCONA          ,59819827,,49.2777547370006,-123.090948185329
1345,1938 CHARLES ST,,1938,CHARLES ST,B,,RT-4                ,GRANDVIEW-WOODLAND  ,60725324,,49.2727391616736,-123.064791513769
1346,3544 TANNER ST,,3544,TANNER ST,C,,RS-1                ,RENFREW-COLLINGWOOD ,71230338,,49.2430296333905,-123.02961674095
1347,466 E 10TH AV,,466,E 10TH AV,C,,RT-5                ,MOUNT PLEASANT      ,65519866,,49.2612876791135,-123.093642114239
1348,1452 E 11TH AV,,1452,E 11TH AV,B,,RT-5                ,KENSINGTON-CEDAR COT,66523086,,,
1349,1838 E 8TH AV,,1838,E 8TH AV,B,,RT-5                ,GRANDVIEW-WOODLAND  ,64825138,,49.2629443758901,-123.067085239144
1350,1101 NICOLA ST,,1101,NICOLA ST,B,M,RM-5                ,WEST END            ,11560797,,49.2854829306644,-123.136382685856
1351,77 E 27TH AV,,77,E 27TH AV,C,M,RS-7                ,RILEY PARK          ,71418491,H,49.2474431795166,-123.103631950973
1352,2600 E BROADWAY,VAN TECHNICAL SEC ,2600,E BROADWAY,B,,RS-1                ,RENFREW-COLLINGWOOD ,65027308,,49.2601028439818,-123.051279946333
1353,2836 W 14TH AV,BEER RESIDENCE    ,2836,W 14TH AV,C,M,RS-5                ,KITSILANO           ,68606754,,49.2593202713506,-123.169253690165
1354,2028 W 7TH AV,ST AUGUSTINE CHURC,2028,W 7TH AV,A,,RM-4                ,KITSILANO           ,64609092,H,49.2652773230598,-123.151105543182
1355,1520 ATLAS LANE,SHANNON MANSION   ,1520,ATLAS LANE,A,M,CD-1                ,KERRISDALE          ,13080313,,49.2205601070707,-123.141814421225
1356,2316 DUNBAR ST,,2316,DUNBAR ST,B,,RT-7                ,KITSILANO           ,04164650,,49.2656434719574,-123.183429031549
1357,601 BUTE ST,,601,BUTE ST,B,,DD                  ,CENTRL BUSNES/DWNTWN,59711794,,49.2877819661592,-123.124664082458
1358,242 JACKSON AV,MCD'LD-MCRAE HOUSE,242,JACKSON AV,B,,DEOD                ,STRATHCONA          ,58919601,,49.2824149408693,-123.093107874494
1359,2445 W 6TH AV,,2445,W 6TH AV,C,,RT-8                ,KITSILANO           ,64307755,,49.2667909206309,-123.161027138595
1360,4585 BELLEVUE DRIVE,,4585,BELLEVUE DRIVE,A,,RS-1                ,WEST POINT GREY     ,63602304,,49.2711536933978,-123.210191311681
1361,3708 KNIGHT ST,,3708,KNIGHT ST,C,,RM-1N               ,KENSINGTON-CEDAR COT,23069808,,49.2515437265132,-123.075671412696
1362,814 JACKSON AV,,814,JACKSON AV,A,,RT-3                ,STRATHCONA          ,59819606,,49.2772836416668,-123.093316858117
1363,2915 ONTARIO ST,,2915,ONTARIO ST,B,,RT-6                ,MOUNT PLEASANT      ,68318294,,49.2590893106349,-123.105314099499
1364,344 E HASTINGS ST,HAZELWOOD HOTEL   ,344,E HASTINGS ST,C,,DEOD                ,STRATHCONA          ,59019246,,49.2809541892024,-123.096384
1365,3130 W 3RD AV,,3130,W 3RD AV,B,,RT-8                ,KITSILANO           ,63805366,,49.2690482993657,-123.174593236402
1366,736 E BROADWAY,,736,E BROADWAY,C,,C-2C                ,MOUNT PLEASANT      ,65021036,,49.2621546258469,-123.088239624509
1367,1638 ANGUS DRIVE,,1638,ANGUS DRIVE,B,,FSD                 ,SHAUGHNESSY         ,69912576,,49.2538001107904,-123.141921327691
1368,948 HOMER ST,,948,HOMER ST,C,,DD                  ,CENTRL BUSNES/DWNTWN,14860434,,49.2776440109103,-123.11909922155
1369,924 E 19TH AV,,924,E 19TH AV,C,,RM-1                ,KENSINGTON-CEDAR COT,69421424,,49.2533783431066,-123.085004061236
1370,944 BURRARD ST,,944,BURRARD ST,A,,DD                  ,CENTRL BUSNES/DWNTWN,12060524,,49.2815223018359,-123.124809214405
1371,40 POWELL ST,,40,POWELL ST,B,M,HA-2                ,CENTRL BUSNES/DWNTWN,58017848,H,49.282995376947,-123.103183561003
1372,113 WATER ST,,113,WATER ST,B,M,HA-2                ,CENTRL BUSNES/DWNTWN,58015787,,49.2841782893137,-123.106785304083
1373,42 W 10TH AV,,42,W 10TH AV,B,M,RT-6                ,MOUNT PLEASANT      ,65418248,,49.2618241103433,-123.10599857646
1374,1650 BURRARD ST,SEAFORTH ARMOURY  ,1650,BURRARD ST,A,,C-2                 ,FAIRVIEW            ,12063096,,49.2711472913152,-123.144022341483
1375,1560 COMOX ST,,1560,COMOX ST,B,,RM-5                ,WEST END            ,11460706,,49.2863651370653,-123.136568983036
1376,2627 DUNDAS ST,MCLEOD HOUSE      ,2627,DUNDAS ST,B,M,RS-1                ,HASTINGS-SUNRISE    ,58027429,,49.2850321673905,-123.05115981743
1377,1151 UNION ST,,1151,UNION ST,B,,RT-3                ,STRATHCONA          ,59822251,,49.2775724469488,-123.080111914175
1378,1176 THURLOW ST,,1176,THURLOW ST,B,,C-5                 ,WEST END            ,11960964,,49.2805535001012,-123.130598785791
1379,3262 ONTARIO ST,,3262,ONTARIO ST,C,,RS-7                ,RILEY PARK          ,18469062,,49.256097946822,-123.104676155589
1380,2296 W 8TH AV,,2296,W 8TH AV,C,,RM-4                ,KITSILANO           ,64808406,,49.2646187980183,-123.157421364952
1381,1970 WILLIAM ST,,1970,WILLIAM ST,C,,RT-4                ,GRANDVIEW-WOODLAND  ,60625452,,49.2735770638104,-123.064016474814
1382,568 SEYMOUR ST,EXCHANGE BLDG     ,568,SEYMOUR ST,B,,DD                  ,CENTRL BUSNES/DWNTWN,13459268,,49.2830734975865,-123.114747390573
1383,920 W 17TH AV,,920,W 17TH AV,B,,RS-7                ,SOUTH CAMBIE        ,69115072,,49.2559397783461,-123.125256318069
1384,0 HEATLEY NORTH FOOT,,0,HEATLEY NORTH FOOT,A,,M-2                 ,STRATHCONA          ,,,,
1385,518 E GEORGIA ST,,518,E GEORGIA ST,B,,RT-3                ,STRATHCONA          ,59619618,,49.2781880367205,-123.093069742271
1386,266 E PENDER ST,,266,E PENDER ST,,M,HA-1                ,STRATHCONA          ,59219066,,49.280090311671,-123.098039547174
1387,137 W 11TH AV,,137,W 11TH AV,B,,RT-6                ,MOUNT PLEASANT      ,66417943,,49.261478878829,-123.108196469659
1388,1025 GRANVILLE ST,,1025,GRANVILLE ST,C,,DD                  ,CENTRL BUSNES/DWNTWN,13060631,,49.2791556399756,-123.123766503067
1389,1565 W 15TH AV,,1565,W 15TH AV,B,,RM-3                ,FAIRVIEW            ,68812447,,49.2582618501937,-123.140165543218
1390,2228 MACDONALD ST,,2228,MACDONALD ST,B,,RT-8                ,KITSILANO           ,07064356,,49.2661614813004,-123.168082028336
1391,744 W HASTINGS ST,,744,W HASTINGS ST,B,,DD                  ,CENTRL BUSNES/DWNTWN,59012604,,49.2856539807588,-123.114887205241
1392,6376 COLLINGWOOD ST,,6376,COLLINGWOOD ST,B,,RS-6                ,DUNBAR-SOUTHLANDS   ,04276594,,49.2289556886666,-123.181648954446
1393,133 KEEFER ST,VAN GAS CO WAREHSE,133,KEEFER ST,C,M,HA-1A               ,CENTRL BUSNES/DWNTWN,59418649,H,49.2797675029091,-123.101322662669
1394,1643 COLLINGWOOD ST,,1643,COLLINGWOOD ST,B,,RT-8                ,KITSILANO           ,04263071,,49.2715237927406,-123.181918831272
1395,1179 W 67TH AV,,1179,W 67TH AV,B,,RT-2                ,MARPOLE             ,82614507,,49.2110012546794,-123.132603922347
1396,1243 THURLOW ST,,1243,THURLOW ST,B,,RM-5A               ,WEST END            ,61311897,,49.2799905406316,-123.13215391222
1397,150 ALEXANDER ST,MISSION HOUSE     ,150,ALEXANDER ST,C,,HA-2                ,CENTRL BUSNES/DWNTWN,57918642,,49.2837922685322,-123.100994481945
1398,660 JACKSON AV,,660,JACKSON AV,B,,RT-3                ,STRATHCONA          ,59619601,,49.278704737257,-123.093272006883
1399,303 COLUMBIA ST,,303,COLUMBIA ST,C,,HA-2                ,CENTRL BUSNES/DWNTWN,58917894,,49.2820700905971,-123.10243970124
1400,3857 W 20TH AV,BRAIL HOUSE       ,3857,W 20TH AV,C,,RS-5                ,DUNBAR-SOUTHLANDS   ,69603439,,49.2549374203933,-123.189695855234
1401,1523 VICTORIA DRIVE,,1523,VICTORIA DRIVE,B,,RT-5                ,GRANDVIEW-WOODLAND  ,25361251,,49.2707888329326,-123.066031337394
1402,2245 STEPHENS ST,,2245,STEPHENS ST,B,,RT-8                ,KITSILANO           ,07264395,,49.2658966749598,-123.166776016131
1403,1186 LAURIER AV,,1186,LAURIER AV,C,,FSD                 ,SHAUGHNESSY         ,70514634,,49.2503388501732,-123.131306560212
1404,961 NICOLA ST,,961,NICOLA ST,C,,RM-5                ,WEST END            ,11560525,,49.2871519458896,-123.133706650444
